Comment,Designator,Footprint,LCSC,Quantity
100k,R11,R_0603_1608Metric,C25803,1
100k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,C559384,1
100n,"C1,C10,C3,C8",C_0603_1608Metric,C14663,4
10k,"R6,R7",R_0603_1608Metric,C25804,2
10u,C7,C_0603_1608Metric,C19702,1
120,R9,R_0603_1608Metric,C22787,1
1u,C6,C_0603_1608Metric,C15849,1
2.2k,R10,R_0603_1608Metric,C4190,1
22u,"C4,C5",C_0805_2012Metric,C45783,2
47k,R8,R_0603_1608Metric,C25819,1
5.1K,"R4,R5",R_0603_1608Metric,C23186,2
BC847B,Q2,SOT-23,C57668,1
ESP32-S3-WROOM-1,U2,ESP32-S3-WROOM-1,C2913198,1
LM1117MP-3.3,U6,SOT-223-3_TabPin2,C3750685,1
LTV-814,U1,DIP-4_W7.62mm,C10790,1
MOC3052M,U3,DIP-6_W7.62mm,C8965,1
USBLC6-2SC6,U5,SOT-23-6,C7519,1
180,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
1N5817,D3,D_DO-41_SOD81_P10.16mm_Horizontal,,1
Conn_02x03,J4,Pins_2x03_2.54mm_TH,,1
Load,J2,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",,1
USB_C_Receptacle_USB2.0_16P,J3,USB_C_Receptacle_GCT_USB4085,,1
100k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
IRM-05-5,PS1,Converter_ACDC_MeanWell_IRM-05-xx_THT,,1
RESET,SW1,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,,1
100uF,C9,CP_Elec_6.3x5.4,,1
100uF,C2,CP_Elec_6.3x5.4,,1
Polyfuse,F1,Fuse_1206_3216Metric,,1
330,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
BOOT,SW2,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,,1
220V,J1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",,1
1N5817,D1,D_DO-41_SOD81_P10.16mm_Horizontal,,1
BTB16-600B,Q1,TO-220-3_Vertical,,1
