Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,40.0555,-64.135,0.0,top
C10,100n,C_0603_1608Metric,52.8955,-81.14,-90.0,top
C2,100uF,CP_Elec_6.3x5.4,47.8155,-87.89,90.0,top
C3,100n,C_0603_1608Metric,40.8305,-85.09,-90.0,top
C4,22u,C_0805_2012Metric,51.9455,-71.755,0.0,top
C5,22u,C_0805_2012Metric,52.2605,-66.36,-90.0,top
C6,1u,C_0603_1608Metric,33.8455,-49.67,90.0,top
C7,10u,C_0603_1608Metric,31.9655,-40.145,90.0,top
C8,100n,C_0603_1608Metric,30.0605,-40.145,90.0,top
C9,100uF,CP_Elec_6.3x5.4,57.6005,-75.565,180.0,top
D1,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,42.7355,-75.565,180.0,top
D3,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,42.7355,-80.01,180.0,top
F1,Polyfuse,Fuse_1206_3216Metric,35.1155,-70.615,90.0,top
J1,220V,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",79.97,-43.18,180.0,top
J2,Load,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",60.325,-106.2175,0.0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4085,29.4,-69.63,-90.0,top
J4,Conn_02x03,Pins_2x03_2.54mm_TH,30.0355,-58.42,0.0,top
PS1,IRM-05-5,Converter_ACDC_MeanWell_IRM-05-xx_THT,75.5,-88.3575,-90.0,top
Q1,BTB16-600B,TO-220-3_Vertical,90.17,-57.785,-90.0,top
Q2,BC847B,SOT-23,68.4055,-46.04,0.0,top
R1,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,75.565,-59.055,-90.0,top
R10,2.2k,R_0603_1608Metric,64.9605,-42.735,-90.0,top
R11,100k,R_0603_1608Metric,64.9605,-46.545,90.0,top
R12,330,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,83.82,-59.055,-90.0,top
R2,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,80.645,-51.435,0.0,top
R3,180,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,80.01,-59.055,-90.0,top
R4,5.1K,R_0603_1608Metric,33.4005,-79.375,180.0,top
R5,5.1K,R_0603_1608Metric,33.465,-76.835,180.0,top
R6,10k,R_0603_1608Metric,33.8455,-46.165,-90.0,top
R7,10k,R_0603_1608Metric,37.6555,-59.69,90.0,top
R8,47k,R_0603_1608Metric,66.4205,-40.005,180.0,top
R9,120,R_0603_1608Metric,69.4055,-40.83,90.0,top
SW1,RESET,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,29.4255,-47.525,-90.0,top
SW2,BOOT,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,59.5355,-45.825,-90.0,top
U1,LTV-814,DIP-4_W7.62mm,68.58,-51.435,180.0,top
U2,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,44.6405,-48.4,0.0,top
U3,MOC3052M,DIP-6_W7.62mm,68.58,-59.055,0.0,top
U5,USBLC6-2SC6,SOT-23-6,36.3855,-65.4925,0.0,top
U6,LM1117MP-3.3,SOT-223-3_TabPin2,45.9105,-68.58,90.0,top
