Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C3, C8",0603,4,100n,C14663
C2,CP_Elec_6.3x5.4,1,100uF,C134801
"C4, C5",0805,2,22u,C45783
C6,0603,1,1u,C15849
C7,0603,1,10u,C19702
C9,CP_Elec_6.3x5.4,1,100uF,
"D1, D3",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5817,
"D2, D4",D_SOD-923,2,ESD3.3,
F1,1206,1,Polyfuse,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,220V,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Load,
J3,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
J4,Pins_2x03_2.54mm_TH,1,Conn_02x03,
"L1, L2",0603,2,220Ohm,
PS1,Converter_ACDC_MeanWell_IRM-05-xx_THT,1,IRM-05-5,
Q1,TO-220-3_Vertical,1,BTB16-600B,
Q2,SOT-23,1,BC847B,C57668
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,100k,
R10,0603,1,2.2k,C4190
R11,0603,1,100k,C25803
R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,330,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,180,
"R4, R5",0603,2,5.1K,C23186
"R6, R7",0603,2,10k,C25804
R8,0603,1,47k,C25819
R9,0603,1,120,C22787
SW1,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,1,RESET,
SW2,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,1,BOOT,
U1,DIP-4_W7.62mm,1,LTV-814,
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913198
U3,DIP-6_W7.62mm,1,MOC3052M,
U5,SOT-23-6,1,USBLC6-2SC6,C7519
U6,SOT-223-3_TabPin2,1,LM1117MP-3.3,C3750685
