Designator,Mid X,Mid Y,Rotation,Layer
C1,40.0555,-64.135,0.0,top
C10,52.8955,-81.14,270.0,top
C2,47.8155,-87.89,270.0,top
C3,40.8305,-85.09,270.0,top
C4,51.9455,-71.755,0.0,top
C5,52.2605,-66.36,270.0,top
C6,33.8455,-49.67,90.0,top
C7,31.9655,-40.145,90.0,top
C8,30.0605,-40.145,90.0,top
C9,57.6005,-75.565,0.0,top
D1,42.7355,-75.565,180.0,top
D2,33.8455,-52.49,90.0,top
D3,42.7355,-80.01,180.0,top
D4,55.245,-39.9325,270.0,top
F1,35.1155,-70.615,90.0,top
J1,79.97,-43.18,180.0,top
J2,60.325,-106.2175,0.0,top
J3,28.7905,-69.335,270.0,top
J4,30.0355,-58.42,0.0,top
L1,37.6555,-69.98,270.0,top
L2,37.6555,-85.09,270.0,top
PS1,75.5,-88.3575,270.0,top
Q1,90.17,-57.785,270.0,top
Q2,68.4055,-46.04,180.0,top
R1,75.565,-59.055,270.0,top
R10,64.9605,-42.735,270.0,top
R11,64.9605,-46.545,90.0,top
R12,83.82,-59.055,270.0,top
R2,80.645,-51.435,0.0,top
R3,80.01,-59.055,270.0,top
R4,33.4005,-79.375,180.0,top
R5,33.465,-76.835,180.0,top
R6,33.8455,-46.165,270.0,top
R7,37.6555,-59.69,90.0,top
R8,66.4205,-40.005,180.0,top
R9,69.4055,-40.83,90.0,top
SW1,29.4255,-47.525,270.0,top
SW2,59.5355,-45.825,270.0,top
U1,68.58,-51.435,180.0,top
U2,44.6405,-44.63,0.0,top
U3,68.58,-59.055,0.0,top
U5,36.3855,-65.4925,180.0,top
U6,45.9105,-68.58,270.0,top
